,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
297,2021-07-26,52.8100014,54.5400009,52.7599983,54.3100014,52.7644958,32881200.0,32881200.0,-0.04551,-0.086,53.35483,"July 26, 21",-0.00086
298,2021-07-23,54.5800018,54.7099991,52.3199997,53.0,51.4917755,67742300.0,67742300.0,-3.08823,-5.658,52.84059,"July 23, 21",-0.05658
299,2021-07-22,56.0600014,56.5400009,55.6800003,55.9599991,54.3675385,36691000.0,36691000.0,-1.69246,-3.019,55.52918,"July 22, 21",-0.03019
300,2021-07-21,55.1800003,56.2799988,55.0099983,56.2299995,54.6298561,18497200.0,18497200.0,-0.55014,-0.997,55.30662,"July 21, 21",-0.00997
301,2021-07-20,54.9199982,55.5600014,54.2700005,55.2400017,53.6680336,19867000.0,19867000.0,-1.25196,-2.28,54.49935,"July 20, 21",-0.0228
302,2021-07-19,54.4099998,54.8100014,53.9700012,54.6399994,53.0851059,27007700.0,27007700.0,-1.32489,-2.435,53.95504,"July 19, 21",-0.02435
303,2021-07-16,56.0499992,56.9300003,54.9000015,54.9700012,53.4057121,25263800.0,25263800.0,-2.64429,-4.718,55.07857,"July 16, 21",-0.04718
304,2021-07-15,56.4000015,56.4000015,55.5699997,55.8100014,54.2218094,18917000.0,18917000.0,-2.17819,-3.862,55.39727,"July 15, 21",-0.03862
305,2021-07-14,57.1699982,57.4599991,56.3300018,56.5200005,54.9116058,16263600.0,16263600.0,-2.25839,-3.95,56.23387,"July 14, 21",-0.0395
306,2021-07-13,56.6199989,57.2999992,56.3400002,56.8699989,55.2516441,15716000.0,15716000.0,-1.36835,-2.417,56.29721,"July 13, 21",-0.02417
307,2021-07-12,56.2599983,56.7599983,56.1100006,56.7299995,55.1156273,15392800.0,15392800.0,-1.14437,-2.034,55.99521,"July 12, 21",-0.02034
308,2021-07-09,55.5099983,56.1100006,55.3100014,55.9900017,54.3966866,18708000.0,18708000.0,-1.11331,-2.006,55.27223,"July 09, 21",-0.02006
309,2021-07-08,55.3100014,55.7200012,54.7900009,55.3899994,53.8137589,19162000.0,19162000.0,-1.49624,-2.705,54.77459,"July 08, 21",-0.02705
310,2021-07-07,56.3699989,56.4500008,55.7099991,55.9599991,54.3675385,14857400.0,14857400.0,-2.00246,-3.552,55.50918,"July 07, 21",-0.03552
311,2021-07-06,56.9199982,57.0099983,55.7000008,56.0900002,54.4938393,26186600.0,26186600.0,-2.42616,-4.262,55.73461,"July 06, 21",-0.04262
312,2021-07-02,56.5499992,56.9900017,56.3199997,56.7599983,55.1447716,17219400.0,17219400.0,-1.40523,-2.485,56.15159,"July 02, 21",-0.02485
313,2021-07-01,56.1300011,56.6399994,55.8699989,56.0099983,54.4161148,24871600.0,24871600.0,-1.71389,-3.053,55.64204,"July 01, 21",-0.03053
314,2021-06-30,56.3400002,56.3800011,55.3899994,56.1399994,54.5424156,29891600.0,29891600.0,-1.79758,-3.191,55.43747,"June 30, 21",-0.03191
315,2021-06-29,57.5499992,57.8300018,55.8800011,56.75,55.1350594,26360000.0,26360000.0,-2.41494,-4.196,56.28169,"June 29, 21",-0.04196
316,2021-06-28,56.3600006,57.7299995,56.3400002,57.4799995,55.8442879,22480900.0,22480900.0,-0.51571,-0.915,56.6381,"June 28, 21",-0.00915
317,2021-06-25,56.0200005,56.4099998,55.75,55.9099998,54.3189621,21101200.0,21101200.0,-1.70104,-3.036,55.49299,"June 25, 21",-0.03036
